"case_num","case_id","system","library","loss","policy","n","mse_mean","mse_sd","mse_se","distance_mean","distance_sd","distance_se","min_eig_mean","min_eig_sd","min_eig_se"
1,"1q_L1_frobenius","1q","L1","frobenius","exact",7,0.0387405548746439,0.0263455019204415,0.0152105826257027,0.379850539332428,0.126545173361766,0.0730608899050636,0.00100000356860215,4.41930886661532e-16,2.55148916377246e-16
1,"1q_L1_frobenius","1q","L1","frobenius","exact",8,0.0540000192788865,0.0444163532322152,0.0256437934950409,0.432703814754349,0.207728738307607,0.119932242980318,0.00100000336631473,3.97510651979216e-09,2.29502881925944e-09
1,"1q_L1_frobenius","1q","L1","frobenius","exact",9,0.0547571868808651,0.0283667529115818,0.0163775524295374,0.454502071159693,0.136692802489797,0.0789196263137686,0.00100000067473468,1.08915383453595e-09,6.28823259558243e-10
1,"1q_L1_frobenius","1q","L1","frobenius","exact",10,0.057170931501835,0.0248593310663796,0.0143525414830483,0.469432599125001,0.111692172192725,0.0644855056818437,0.00100000015055298,1.30382726286388e-10,7.52765021191232e-11
1,"1q_L1_frobenius","1q","L1","frobenius","exact",11,0.0511212559653584,0.0313492053133003,0.0180994721265148,0.436205309953877,0.145996325790114,0.0842910179956186,0.00100000733994008,5.865891688709e-09,3.38667414551333e-09
1,"1q_L1_frobenius","1q","L1","frobenius","exact",12,0.056110251519466,0.0256237575128806,0.0147938832977113,0.463816975268665,0.118204184764062,0.0682452178928713,0.0010000001849228,1.60147789035025e-10,9.24613691094949e-11
1,"1q_L1_frobenius","1q","L1","frobenius","exact",13,0.0510535773317564,0.0148815906902415,0.00859189039098076,0.448361302880856,0.069135208895392,0.0399152314662356,0.00100000000000003,7.49360196670407e-17,4.32643311267651e-17
1,"1q_L1_frobenius","1q","L1","frobenius","exact",14,0.0523527900524328,0.00977235284852279,0.00564207054771064,0.456217362623338,0.0437643390913798,0.0252673529553142,0.00100000263019884,3.33062992239801e-09,1.92294008226751e-09
1,"1q_L1_frobenius","1q","L1","frobenius","exact",15,0.0417665685664958,0.00811818245597623,0.00468703482628837,0.407414715332474,0.0402403528167088,0.0232327785310124,0.000999999999999985,6.667499580503e-17,3.84948267762513e-17
1,"1q_L1_frobenius","1q","L1","frobenius","exact",16,0.0221933927180238,0.0143375972223151,0.00827781561583605,0.286958918265944,0.0981948326013222,0.0566928130354036,0.0284444490232669,0.0475351800940323,0.0274444490232669
1,"1q_L1_frobenius","1q","L1","frobenius","exact",17,0.0158535220113227,0.0098494954528661,0.00568660885109424,0.243749273651636,0.0774633426814625,0.0447234817494706,0.0178486238221062,0.0291826724975033,0.0168486238221062
1,"1q_L1_frobenius","1q","L1","frobenius","exact",18,0.0104178726674255,0.00699044978812539,0.00403593806693076,0.193083253306905,0.0811512288458106,0.0468526838191977,0.0159643400140347,0.0259189972060441,0.0149643400140347
1,"1q_L1_frobenius","1q","L1","frobenius","exact",19,0.0132060536557437,0.00773275922148854,0.00446451061810497,0.221567163410755,0.074821855641452,0.0431984184958596,0.00840488682397696,0.0128256397708746,0.00740488657424365
1,"1q_L1_frobenius","1q","L1","frobenius","exact",20,0.0151992714260088,0.00672769814970198,0.00388423833775698,0.241808432229562,0.0590648094052142,0.0341010836097344,0.0101984945187087,0.0159322515290479,0.00919848970909266
1,"1q_L1_frobenius","1q","L1","frobenius","exact",21,0.0136621799127266,0.00805261492394133,0.00464917939401793,0.224513721947147,0.079771313531357,0.046055989340939,0.00911104107471526,0.0140487344737194,0.00811104063017546
